"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"STEVESMITH","WR","espn","Steve Smith Sr.","BAL",1,1,"99.2",0,0,0,0,0,0,0,0,55,775.7,3.8
"JIMMYGRAHAM","TE","espn","Jimmy Graham","SEA",1,2,"97.1",0,0,0,0,0,0,0,0,48.5,589.8,6.5
"SHANEVEREEN","RB","espn","Shane Vereen","NYG",1,3,"97",0,0,0,0,0,60.9,264.7,1.6,50.8,451.6,2.8
"GREGZUERLEIN","K","espn","Greg Zuerlein","LA",1,4,"97",0,0,0,0,0,0,0,0,0,0,0
"ZACHMILLER","TE","espn","Zach Miller","CHI",2,5,"96.3",0,0,0,0,0,0,0,0,64.3,698,4.6
"MINNESOTAVIKINGS","DST","espn","Minnesota Vikings","MIN",1,6,"96.3",0,0,0,0,0,0,0,0,0,0,0
"MARTELLUSBENNETT","TE","espn","Martellus Bennett","NE",3,7,"95.8",0,0,0,0,0,0,0,0,61.1,604.2,6.2
"TYLERBOYD","WR","espn","Tyler Boyd","CIN",2,8,"95.2",0,0,0,0,0,8.7,55,0.3,49.2,638,4.1
"KENNYBRITT","WR","espn","Kenny Britt","LA",3,9,"95.2",0,0,0,0,0,0,0,0,45.8,751,3.4
"TERRANCEWILLIAMS","WR","espn","Terrance Williams","DAL",4,10,"94.8",0,0,0,0,0,0,0,0,41,678.6,4.6
"DETROITLIONS","DST","espn","Detroit Lions","DET",2,11,"93.1",0,0,0,0,0,0,0,0,0,0,0
"JACKSONVILLEJAGUARS","DST","espn","Jacksonville Jaguars","JAC",3,12,"92.8",0,0,0,0,0,0,0,0,0,0,0
"CHICAGOBEARS","DST","espn","Chicago Bears","CHI",4,13,"92.7",0,0,0,0,0,0,0,0,0,0,0
"PHILLIPDORSETT","WR","espn","Phillip Dorsett","IND",5,14,"92.5",0,0,0,0,0,7.3,45.8,0.2,45.9,600,4.6
"TEVINCOLEMAN","RB","espn","Tevin Coleman","ATL",2,15,"92.4",0,0,0,0,0,123.8,519.4,3.9,23.5,170.5,0.6
"JAREDCOOK","TE","espn","Jared Cook","GB",4,16,"91.5",0,0,0,0,0,0,0,0,47.9,600.1,5.3
"NEWENGLANDPATRIOTS","DST","espn","New England Patriots","NE",5,17,"91.3",0,0,0,0,0,0,0,0,0,0,0
"ERICEBRON","TE","espn","Eric Ebron","DET",5,18,"90.8",0,0,0,0,0,0,0,0,58.8,645.6,4.5
"KENNYSTILLS","WR","espn","Kenny Stills","MIA",6,19,"90.7",0,0,0,0,0,0,0,0,47.8,712.8,3.3
"INDIANAPOLISCOLTS","DST","espn","Indianapolis Colts","IND",6,20,"90.3",0,0,0,0,0,0,0,0,0,0,0
"CLIVEWALFORD","TE","espn","Clive Walford","OAK",6,21,"90.1",0,0,0,0,0,0,0,0,50.1,552.7,5.9
"DARRENMCFADDEN","RB","espn","Darren McFadden","DAL",3,22,"9.8",0,0,0,0,0,12.9,56.3,0.4,3.9,29.4,0.1
"JAMESHANNA","TE","espn","James Hanna","DAL",7,23,"9.6",0,0,0,0,0,0,0,0,5.9,64.3,0.6
"JIMDRAY","TE","espn","Jim Dray","BUF",8,24,"9.4",0,0,0,0,0,0,0,0,5.8,62.5,0.6
"JAMESDEVELIN","RB","espn","James Develin","NE",4,25,"9.2",0,0,0,0,0,7.8,25.1,0.4,4.3,32.3,0.3
"KAMARAIKEN","WR","espn","Kamar Aiken","BAL",7,26,"89.4",0,0,0,0,0,0,0,0,53.8,669.3,4
"DEANGELOWILLIAMS","RB","espn","DeAngelo Williams","PIT",5,27,"89.2",0,0,0,0,0,126.4,594.9,3.4,12.4,91.1,0.4
"PHILADELPHIAEAGLES","DST","espn","Philadelphia Eagles","PHI",7,28,"89.1",0,0,0,0,0,0,0,0,0,0,0
"PITTSBURGHSTEELERS","DST","espn","Pittsburgh Steelers","PIT",8,29,"88.6",0,0,0,0,0,0,0,0,0,0,0
"ATLANTAFALCONS","DST","espn","Atlanta Falcons","ATL",9,30,"88",0,0,0,0,0,0,0,0,0,0,0
